A,B,W
AYO27148,Rotavirus vaccine,0.997963247
AYO27148,Sodium lauryl sulfate,0.997963247
AYO27148,Rifamycin,0.9970714540000001
AYO27148,Rotavirus vaccine,0.9970714540000001
AYO27148,Sodium lauryl sulfate,0.9970714540000001
QHN74898,Rifamycin,0.997963247
QHN74898,Rotavirus vaccine,0.997963247
QHN74898,Sodium lauryl sulfate,0.997963247
QBF53399,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
QDH08285,Rifamycin,0.997963247
QDH08285,Rotavirus vaccine,0.997963247
QDH08285,Sodium lauryl sulfate,0.997963247
QDH08285,Rifamycin,0.9970714540000001
QDH08285,Rotavirus vaccine,0.9970714540000001
QDH08285,Sodium lauryl sulfate,0.9970714540000001
QCY59284,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
QBY34727,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
BBH43140,Rifamycin,0.997963247
BBH43140,Rotavirus vaccine,0.997963247
BBH43140,Sodium lauryl sulfate,0.997963247
BBH43140,Rifamycin,0.9970714540000001
BBH43140,Rotavirus vaccine,0.9970714540000001
BBH43140,Sodium lauryl sulfate,0.9970714540000001
QCX36701,Rifamycin,0.997963247
QCX36701,Rotavirus vaccine,0.997963247
QCX36701,Sodium lauryl sulfate,0.997963247
AXG22848,Palivizumab,0.993655774
AYU49217,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
QCY59285,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
QCY54490,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AUN50120,Rifamycin,0.997963247
AUN50120,Rotavirus vaccine,0.997963247
AUN50120,Sodium lauryl sulfate,0.997963247
AUN50120,Rifamycin,0.9970714540000001
AUN50120,Rotavirus vaccine,0.9970714540000001
AUN50120,Sodium lauryl sulfate,0.9970714540000001
QBL75270,Glecaprevir,0.995548448
QBL75270,Pibrentasvir,0.995548448
QBL75270,Velpatasvir,0.995548448
QBL75270,Asunaprevir,0.995548448
QBL75270,Grazoprevir,0.995548448
QBL75270,Elbasvir,0.995548448
QBL75270,Hepatitis A Vaccine,0.995548448
QBL75270,Dasabuvir,0.995548448
QBL75270,Ledipasvir,0.995548448
QBL75270,Boceprevir,0.995548448
QBL75270,Telaprevir,0.995548448
QBL75270,Buprenorphine,0.995548448
QBL75270,Methadone,0.995548448
QBL75270,Peginterferon alfa-2b,0.995548448
QBL75270,Peginterferon alfa-2a,0.995548448
BAR13319,Palivizumab,0.993655774
QBQ83275,Rifamycin,0.9970714540000001
QBQ83275,Rotavirus vaccine,0.9970714540000001
QBQ83275,Sodium lauryl sulfate,0.9970714540000001
AYN72974,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AYV62403,Rifamycin,0.997963247
AYV62403,Rotavirus vaccine,0.997963247
AYV62403,Sodium lauryl sulfate,0.997963247
AYV62403,Rifamycin,0.9970714540000001
AYV62403,Rotavirus vaccine,0.9970714540000001
AYV62403,Sodium lauryl sulfate,0.9970714540000001
ANQ30911,Glecaprevir,0.995548448
ANQ30911,Pibrentasvir,0.995548448
ANQ30911,Velpatasvir,0.995548448
ANQ30911,Asunaprevir,0.995548448
ANQ30911,Grazoprevir,0.995548448
ANQ30911,Elbasvir,0.995548448
ANQ30911,Hepatitis A Vaccine,0.995548448
ANQ30911,Dasabuvir,0.995548448
ANQ30911,Ledipasvir,0.995548448
ANQ30911,Boceprevir,0.995548448
ANQ30911,Telaprevir,0.995548448
ANQ30911,Buprenorphine,0.995548448
ANQ30911,Methadone,0.995548448
ANQ30911,Peginterferon alfa-2b,0.995548448
ANQ30911,Peginterferon alfa-2a,0.995548448
QBQ03783,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
QBQ03669,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AZL30827,Palivizumab,0.993655774
BAX24548,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
QEG03640,Palivizumab,0.993655774
QBF53404,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
QBZ96517,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
BBI55001,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
QBX33248,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AYV96888,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
QBQ83209,Rifamycin,0.9970714540000001
QBQ83209,Rotavirus vaccine,0.9970714540000001
QBQ83209,Sodium lauryl sulfate,0.9970714540000001
AYN53746,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
QBY34692,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
QBY34750,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
QBQ03636,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AYU49236,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
QBQ03665,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AZL30823,Palivizumab,0.993655774
BBJ56557,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
QDA76217,Rifamycin,0.997963247
QDA76217,Rotavirus vaccine,0.997963247
QDA76217,Sodium lauryl sulfate,0.997963247
QDA76217,Rifamycin,0.9970714540000001
QDA76217,Rotavirus vaccine,0.9970714540000001
QDA76217,Sodium lauryl sulfate,0.9970714540000001
AYD38954,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
ATQ63265,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AYU56533,Rifamycin,0.9970714540000001
AYU56533,Rotavirus vaccine,0.9970714540000001
AYU56533,Sodium lauryl sulfate,0.9970714540000001
QBH99196,Rifamycin,0.9970714540000001
QBH99196,Rotavirus vaccine,0.9970714540000001
QBH99196,Sodium lauryl sulfate,0.9970714540000001
QCY59283,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AYP73762,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AYW35208,Rifamycin,0.997963247
AYW35208,Rotavirus vaccine,0.997963247
AYW35208,Sodium lauryl sulfate,0.997963247
AYW35208,Rifamycin,0.9970714540000001
AYW35208,Rotavirus vaccine,0.9970714540000001
AYW35208,Sodium lauryl sulfate,0.9970714540000001
AYD38954,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AYX80696,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AYO27081,Rifamycin,0.997963247
AYO27081,Rotavirus vaccine,0.997963247
AYO27081,Sodium lauryl sulfate,0.997963247
AYO27081,Rifamycin,0.9970714540000001
AYO27081,Rotavirus vaccine,0.9970714540000001
AYO27081,Sodium lauryl sulfate,0.9970714540000001
QCO43799,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AUN50120,Rifamycin,0.997963247
AUN50120,Rotavirus vaccine,0.997963247
AUN50120,Sodium lauryl sulfate,0.997963247
AUN50120,Rifamycin,0.9970714540000001
AUN50120,Rotavirus vaccine,0.9970714540000001
AUN50120,Sodium lauryl sulfate,0.9970714540000001
AYU49227,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AZR37324,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
QBO66706,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
QDA76212,Rifamycin,0.997963247
QDA76212,Rotavirus vaccine,0.997963247
QDA76212,Sodium lauryl sulfate,0.997963247
QDA76212,Rifamycin,0.9970714540000001
QDA76212,Rotavirus vaccine,0.9970714540000001
QDA76212,Sodium lauryl sulfate,0.9970714540000001
AYW01457,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
BBJ01207,Rifamycin,0.997963247
BBJ01207,Rotavirus vaccine,0.997963247
BBJ01207,Sodium lauryl sulfate,0.997963247
BBJ01207,Rifamycin,0.9970714540000001
BBJ01207,Rotavirus vaccine,0.9970714540000001
BBJ01207,Sodium lauryl sulfate,0.9970714540000001
AWN06703,Palivizumab,0.993655774
QBM19477,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
QBQ83257,Rifamycin,0.9970714540000001
QBQ83257,Rotavirus vaccine,0.9970714540000001
QBQ83257,Sodium lauryl sulfate,0.9970714540000001
AAK26332,Glecaprevir,0.995548448
AAK26332,Pibrentasvir,0.995548448
AAK26332,Velpatasvir,0.995548448
AAK26332,Asunaprevir,0.995548448
AAK26332,Grazoprevir,0.995548448
AAK26332,Elbasvir,0.995548448
AAK26332,Hepatitis A Vaccine,0.995548448
AAK26332,Dasabuvir,0.995548448
AAK26332,Ledipasvir,0.995548448
AAK26332,Boceprevir,0.995548448
AAK26332,Telaprevir,0.995548448
AAK26332,Buprenorphine,0.995548448
AAK26332,Methadone,0.995548448
AAK26332,Peginterferon alfa-2b,0.995548448
AAK26332,Peginterferon alfa-2a,0.995548448
BBJ21833,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AYO27078,Rifamycin,0.997963247
AYO27078,Rotavirus vaccine,0.997963247
AYO27078,Sodium lauryl sulfate,0.997963247
AYO27078,Rifamycin,0.9970714540000001
AYO27078,Rotavirus vaccine,0.9970714540000001
AYO27078,Sodium lauryl sulfate,0.9970714540000001
AYP67459,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AYP67463,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AYP67463,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
BBE14749,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
QBO66708,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
BBJ56557,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
QBY34750,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AYD38894,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AUN50120,Rifamycin,0.997963247
AUN50120,Rotavirus vaccine,0.997963247
AUN50120,Sodium lauryl sulfate,0.997963247
AUN50120,Rifamycin,0.9970714540000001
AUN50120,Rotavirus vaccine,0.9970714540000001
AUN50120,Sodium lauryl sulfate,0.9970714540000001
QCX36707,Rifamycin,0.997963247
QCX36707,Rotavirus vaccine,0.997963247
QCX36707,Sodium lauryl sulfate,0.997963247
BBI37137,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
ANQ30653,Glecaprevir,0.995548448
ANQ30653,Pibrentasvir,0.995548448
ANQ30653,Velpatasvir,0.995548448
ANQ30653,Asunaprevir,0.995548448
ANQ30653,Grazoprevir,0.995548448
ANQ30653,Elbasvir,0.995548448
ANQ30653,Hepatitis A Vaccine,0.995548448
ANQ30653,Dasabuvir,0.995548448
ANQ30653,Ledipasvir,0.995548448
ANQ30653,Boceprevir,0.995548448
ANQ30653,Telaprevir,0.995548448
ANQ30653,Buprenorphine,0.995548448
ANQ30653,Methadone,0.995548448
ANQ30653,Peginterferon alfa-2b,0.995548448
ANQ30653,Peginterferon alfa-2a,0.995548448
QBH67984,Rifamycin,0.9970714540000001
QBH67984,Rotavirus vaccine,0.9970714540000001
QBH67984,Sodium lauryl sulfate,0.9970714540000001
AYP73720,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AZK36018,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AYP73770,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
ARR75141,Palivizumab,0.993655774
AXG22872,Palivizumab,0.993655774
AVM86831,Palivizumab,0.993655774
QBO66706,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
QCW07251,Rifamycin,0.9970714540000001
QCW07251,Rotavirus vaccine,0.9970714540000001
QCW07251,Sodium lauryl sulfate,0.9970714540000001
ARE72369,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AYU56541,Rifamycin,0.9970714540000001
AYU56541,Rotavirus vaccine,0.9970714540000001
AYU56541,Sodium lauryl sulfate,0.9970714540000001
AWK67775,Rifamycin,0.9970714540000001
AWK67775,Rotavirus vaccine,0.9970714540000001
AWK67775,Sodium lauryl sulfate,0.9970714540000001
AUN50120,Rifamycin,0.997963247
AUN50120,Rotavirus vaccine,0.997963247
AUN50120,Sodium lauryl sulfate,0.997963247
AUN50120,Rifamycin,0.9970714540000001
AUN50120,Rotavirus vaccine,0.9970714540000001
AUN50120,Sodium lauryl sulfate,0.9970714540000001
QCX36707,Rifamycin,0.997963247
QCX36707,Rotavirus vaccine,0.997963247
QCX36707,Sodium lauryl sulfate,0.997963247
AYA72668,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
BBI55001,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AXQ12350,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AZK36018,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AYP67459,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
BBJ01036,Rifamycin,0.997963247
BBJ01036,Rotavirus vaccine,0.997963247
BBJ01036,Sodium lauryl sulfate,0.997963247
BBJ01036,Rifamycin,0.9970714540000001
BBJ01036,Rotavirus vaccine,0.9970714540000001
BBJ01036,Sodium lauryl sulfate,0.9970714540000001
AYP65948,Rifamycin,0.997963247
AYP65948,Rotavirus vaccine,0.997963247
AYP65948,Sodium lauryl sulfate,0.997963247
AYP65948,Rifamycin,0.9970714540000001
AYP65948,Rotavirus vaccine,0.9970714540000001
AYP65948,Sodium lauryl sulfate,0.9970714540000001
AYP65521,Rifamycin,0.997963247
AYP65521,Rotavirus vaccine,0.997963247
AYP65521,Sodium lauryl sulfate,0.997963247
AYP65521,Rifamycin,0.9970714540000001
AYP65521,Rotavirus vaccine,0.9970714540000001
AYP65521,Sodium lauryl sulfate,0.9970714540000001
AUN50120,Rifamycin,0.997963247
AUN50120,Rotavirus vaccine,0.997963247
AUN50120,Sodium lauryl sulfate,0.997963247
AUN50120,Rifamycin,0.9970714540000001
AUN50120,Rotavirus vaccine,0.9970714540000001
AUN50120,Sodium lauryl sulfate,0.9970714540000001
AYP73762,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
BBM76678,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
BBI15903,Rifamycin,0.997963247
BBI15903,Rotavirus vaccine,0.997963247
BBI15903,Sodium lauryl sulfate,0.997963247
BBI15903,Rifamycin,0.9970714540000001
BBI15903,Rotavirus vaccine,0.9970714540000001
BBI15903,Sodium lauryl sulfate,0.9970714540000001
BBI76504,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
QDE54834,Palivizumab,0.993655774
QCX20456,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AYP73723,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
QDH08113,Rifamycin,0.997963247
QDH08113,Rotavirus vaccine,0.997963247
QDH08113,Sodium lauryl sulfate,0.997963247
QDH08113,Rifamycin,0.9970714540000001
QDH08113,Rotavirus vaccine,0.9970714540000001
QDH08113,Sodium lauryl sulfate,0.9970714540000001
AYP73770,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
QBO66706,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
BAX35805,Rifamycin,0.997963247
BAX35805,Rotavirus vaccine,0.997963247
BAX35805,Sodium lauryl sulfate,0.997963247
BAX35805,Rifamycin,0.9970714540000001
BAX35805,Rotavirus vaccine,0.9970714540000001
BAX35805,Sodium lauryl sulfate,0.9970714540000001
BBI54979,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AYP73723,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
QCY59285,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AZL30802,Palivizumab,0.993655774
AYO27124,Rifamycin,0.997963247
AYO27124,Rotavirus vaccine,0.997963247
AYO27124,Sodium lauryl sulfate,0.997963247
AYO27124,Rifamycin,0.9970714540000001
AYO27124,Rotavirus vaccine,0.9970714540000001
AYO27124,Sodium lauryl sulfate,0.9970714540000001
AYK04160,Rifamycin,0.9970714540000001
AYK04160,Rotavirus vaccine,0.9970714540000001
AYK04160,Sodium lauryl sulfate,0.9970714540000001
AYH64957,Rifamycin,0.997963247
AYH64957,Rotavirus vaccine,0.997963247
AYH64957,Sodium lauryl sulfate,0.997963247
AYH64957,Rifamycin,0.9970714540000001
AYH64957,Rotavirus vaccine,0.9970714540000001
AYH64957,Sodium lauryl sulfate,0.9970714540000001
AYU49218,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AYU88778,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AYO51229,Rifamycin,0.9970714540000001
AYO51229,Rotavirus vaccine,0.9970714540000001
AYO51229,Sodium lauryl sulfate,0.9970714540000001
QBX90097,Rifamycin,0.997963247
QBX90097,Rotavirus vaccine,0.997963247
QBX90097,Sodium lauryl sulfate,0.997963247
QBX90097,Rifamycin,0.9970714540000001
QBX90097,Rotavirus vaccine,0.9970714540000001
QBX90097,Sodium lauryl sulfate,0.9970714540000001
AYV62422,Rifamycin,0.997963247
AYV62422,Rotavirus vaccine,0.997963247
AYV62422,Sodium lauryl sulfate,0.997963247
AYV62422,Rifamycin,0.9970714540000001
AYV62422,Rotavirus vaccine,0.9970714540000001
AYV62422,Sodium lauryl sulfate,0.9970714540000001
QBO66707,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AVL25621,Glecaprevir,0.995548448
AVL25621,Pibrentasvir,0.995548448
AVL25621,Velpatasvir,0.995548448
AVL25621,Asunaprevir,0.995548448
AVL25621,Grazoprevir,0.995548448
AVL25621,Elbasvir,0.995548448
AVL25621,Hepatitis A Vaccine,0.995548448
AVL25621,Dasabuvir,0.995548448
AVL25621,Ledipasvir,0.995548448
AVL25621,Boceprevir,0.995548448
AVL25621,Telaprevir,0.995548448
AVL25621,Buprenorphine,0.995548448
AVL25621,Methadone,0.995548448
AVL25621,Peginterferon alfa-2b,0.995548448
AVL25621,Peginterferon alfa-2a,0.995548448
QBQ03626,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
QBO66706,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
QBB02451,Rifamycin,0.9970714540000001
QBB02451,Rotavirus vaccine,0.9970714540000001
QBB02451,Sodium lauryl sulfate,0.9970714540000001
AYO27078,Rifamycin,0.997963247
AYO27078,Rotavirus vaccine,0.997963247
AYO27078,Sodium lauryl sulfate,0.997963247
AYO27078,Rifamycin,0.9970714540000001
AYO27078,Rotavirus vaccine,0.9970714540000001
AYO27078,Sodium lauryl sulfate,0.9970714540000001
QHN74914,Rifamycin,0.997963247
QHN74914,Rotavirus vaccine,0.997963247
QHN74914,Sodium lauryl sulfate,0.997963247
QHN74845,Rifamycin,0.997963247
QHN74845,Rotavirus vaccine,0.997963247
QHN74845,Sodium lauryl sulfate,0.997963247
QBQ03802,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AYN72974,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AYP65389,Rifamycin,0.997963247
AYP65389,Rotavirus vaccine,0.997963247
AYP65389,Sodium lauryl sulfate,0.997963247
AYP65389,Rifamycin,0.9970714540000001
AYP65389,Rotavirus vaccine,0.9970714540000001
AYP65389,Sodium lauryl sulfate,0.9970714540000001
AYH52871,Rifamycin,0.9970714540000001
AYH52871,Rotavirus vaccine,0.9970714540000001
AYH52871,Sodium lauryl sulfate,0.9970714540000001
AYH52882,Rifamycin,0.9970714540000001
AYH52882,Rotavirus vaccine,0.9970714540000001
AYH52882,Sodium lauryl sulfate,0.9970714540000001
BAX35619,Rifamycin,0.997963247
BAX35619,Rotavirus vaccine,0.997963247
BAX35619,Sodium lauryl sulfate,0.997963247
BAX35619,Rifamycin,0.9970714540000001
BAX35619,Rotavirus vaccine,0.9970714540000001
BAX35619,Sodium lauryl sulfate,0.9970714540000001
QBM19477,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AYH52871,Rifamycin,0.9970714540000001
AYH52871,Rotavirus vaccine,0.9970714540000001
AYH52871,Sodium lauryl sulfate,0.9970714540000001
AYP67459,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AXQ04188,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AYU49226,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
QBZ39701,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
QBQ03636,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AUI11366,Rifamycin,0.9970714540000001
AUI11366,Rotavirus vaccine,0.9970714540000001
AUI11366,Sodium lauryl sulfate,0.9970714540000001
AYH52867,Rifamycin,0.9970714540000001
AYH52867,Rotavirus vaccine,0.9970714540000001
AYH52867,Sodium lauryl sulfate,0.9970714540000001
AYU56541,Rifamycin,0.9970714540000001
AYU56541,Rotavirus vaccine,0.9970714540000001
AYU56541,Sodium lauryl sulfate,0.9970714540000001
AYH52871,Rifamycin,0.9970714540000001
AYH52871,Rotavirus vaccine,0.9970714540000001
AYH52871,Sodium lauryl sulfate,0.9970714540000001
BBI15911,Rifamycin,0.997963247
BBI15911,Rotavirus vaccine,0.997963247
BBI15911,Sodium lauryl sulfate,0.997963247
BBI15911,Rifamycin,0.9970714540000001
BBI15911,Rotavirus vaccine,0.9970714540000001
BBI15911,Sodium lauryl sulfate,0.9970714540000001
QDF44540,Rifamycin,0.9970714540000001
QDF44540,Rotavirus vaccine,0.9970714540000001
QDF44540,Sodium lauryl sulfate,0.9970714540000001
AYW01448,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
QBZ96517,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AYN25064,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AYN72974,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
BBI55001,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AYP66061,Rifamycin,0.997963247
AYP66061,Rotavirus vaccine,0.997963247
AYP66061,Sodium lauryl sulfate,0.997963247
AYP66061,Rifamycin,0.9970714540000001
AYP66061,Rotavirus vaccine,0.9970714540000001
AYP66061,Sodium lauryl sulfate,0.9970714540000001
AYG97635,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AYU49227,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AYW01443,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
QBQ03833,Measles virus strain enders' attenuated edmonston live antigen,0.99782055
AYO27049,Rifamycin,0.997963247
AYO27049,Rotavirus vaccine,0.997963247
AYO27049,Sodium lauryl sulfate,0.997963247
AYO27049,Rifamycin,0.9970714540000001
AYO27049,Rotavirus vaccine,0.9970714540000001
AYO27049,Sodium lauryl sulfate,0.9970714540000001
QBK96755,Rifamycin,0.9970714540000001
QBK96755,Rotavirus vaccine,0.9970714540000001
QBK96755,Sodium lauryl sulfate,0.9970714540000001
BBJ01162,Rifamycin,0.997963247
BBJ01162,Rotavirus vaccine,0.997963247
BBJ01162,Sodium lauryl sulfate,0.997963247
BBJ01162,Rifamycin,0.9970714540000001
BBJ01162,Rotavirus vaccine,0.9970714540000001
BBJ01162,Sodium lauryl sulfate,0.9970714540000001
BBI15896,Rifamycin,0.997963247
BBI15896,Rotavirus vaccine,0.997963247
BBI15896,Sodium lauryl sulfate,0.997963247
BBI15896,Rifamycin,0.9970714540000001
BBI15896,Rotavirus vaccine,0.9970714540000001
BBI15896,Sodium lauryl sulfate,0.9970714540000001
QBL75315,Glecaprevir,0.995548448
QBL75315,Pibrentasvir,0.995548448
QBL75315,Velpatasvir,0.995548448
QBL75315,Asunaprevir,0.995548448
QBL75315,Grazoprevir,0.995548448
QBL75315,Elbasvir,0.995548448
QBL75315,Hepatitis A Vaccine,0.995548448
QBL75315,Dasabuvir,0.995548448
QBL75315,Ledipasvir,0.995548448
QBL75315,Boceprevir,0.995548448
QBL75315,Telaprevir,0.995548448
QBL75315,Buprenorphine,0.995548448
QBL75315,Methadone,0.995548448
QBL75315,Peginterferon alfa-2b,0.995548448
QBL75315,Peginterferon alfa-2a,0.995548448
